Category,Q1,Q2 (if Yes),Q2a (Deeper probing if Yes),Q3 (if No at any stage)
Server Issues,"Are you facing VM not logging in, server lag, or SolidWorks server issues?",Is it a single server or multiple servers?,Have you checked the logs or tried restarting the server?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
SCADA Issues,"Are you facing SCADA failures (Ajman, Germany, Lebanon, FZCL)?",Is this issue affecting a single SCADA system or multiple systems?,Have you checked system logs or alerts?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
VM Provisioning,Do you need provisioning for new VMs or resource groups?,Is this for a single VM or multiple VMs?,Do you have configuration details ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Resource Groups,Do you need help managing Azure resource groups?,Is it a single resource group or multiple?,Are you facing permission issues or structural errors?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Asset & Backup,Are you facing backup or restore issues?,Is it for a single system or multiple systems?,Have you checked backup logs or attempted a restore?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
General Troubleshooting,Are you facing server or VM troubleshooting issues?,Is it for a specific server/VM or multiple?,Have you tried basic troubleshooting steps?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Storage & Keys,Do you need access to shared drives or backup storage?,Is it for one drive/storage or multiple?,Have you checked permissions or connection issues?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
SharePoint / OneDrive,"Are you facing file access, sync, or collaboration issues?",Is this issue affecting your files only or multiple users?,Have you checked file permissions or tried accessing via web/desktop client?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Laptop Issues,Is your laptop not starting or performing slowly?,Does the laptop power on?,Have you installed any new software or updates recently?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Printer Issues,Is the printer not printing or scanning?,Is the printer on and connected?,Have you tried another document or device?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Peripheral Devices,"Do you need a docking station, keyboard, or mouse?",Is this a new request or replacement?,Are you facing connectivity or performance issues?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Hardware Procurement,Do you need new IT equipment?,Is this for office or home use?,Do you have a preferred brand/model?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
End User Tools,Do you need help installing productivity tools?,Is this for a single tool or multiple?,Do you have admin rights for installation?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Installations,Are you facing software deployment issues?,Is it for one system or multiple systems?,Do you have deployment instructions ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Software Renewal & Access,"Do you need help with Adobe, MS Office, or other license renewal?",Is this for a single software or multiple?,Do you have license keys or approval ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
DNS Records,Are you facing DNS updates or errors?,Is this issue affecting a single record or multiple?,Have you checked DNS configuration or propagation?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Connectivity Issues,Are you facing LAN/WAN/network issues?,Is it a single device or multiple devices?,Have you tried restarting network devices or cables?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Wi-Fi Issues,Are you experiencing wireless connectivity problems?,Is it a single device or multiple devices?,Have you tried reconnecting or checking signal strength?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
LAN / Port Issues,Are you facing switch or port troubleshooting issues?,Is this for a single port or multiple ports?,Have you checked switch configuration or logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
WAN / Internet,Are you facing internet outage or slowness?,Is this affecting your device only or multiple users?,Have you checked modem/router status or ISP alerts?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
VPN & Remote Access,Are you facing VPN connectivity or remote access issues?,Is it a single user or multiple users?,Have you checked VPN credentials and network status?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Network Performance,Are you facing network performance issues?,Is this affecting specific applications or the entire network?,Have you checked performance logs or monitoring tools?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Switch Configuration & Logs,Do you need help with switch setup or port configuration?,Is it a single switch or multiple switches?,Do you have the required configuration details?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
VLAN & Network Mapping,Do you need VLAN mapping or network diagrams?,Is this for a single VLAN or multiple VLANs?,Do you have existing network documentation?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Firewall & Security Rules,Are you facing firewall configuration issues?,Is it a single firewall or multiple firewalls?,Have you checked rules or security policies?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Firewall Firmware / Upgrade,Do you need firewall upgrade assistance?,Is this for a single firewall or multiple?,Have you verified the firmware version and compatibility?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Certificates & DNS,Are you facing SSL certificate or DNS configuration issues?,Is this for a single certificate/DNS or multiple?,"Have you checked expiry, propagation, or certificate format?","Please share a screenshot or error message, I am creating a ticket in JIRA."
VPN Access & Connectivity,Are you facing VPN connection issues?,Is this for a single user or multiple users?,Have you tried reconnecting or checking network/firewall rules?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Network Diagrams & Reports,Do you need network architecture reporting?,Is this for a single project or multiple?,Do you have raw network data and diagrams?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Office Network Projects,Do you need help with network project implementations?,Is this for a single office or multiple locations?,Do you have project documentation ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
User / Role Access,"Do you need ERP, application, or database access?",Is this for a single user or multiple users?,Do you have approval or role assignment details?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Azure AD / Entra ID / Groups / Roles,Do you need role creation/assignment in Azure AD?,Is this for a single user/group or multiple?,Do you have group membership and permission requirements?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Other Access / Jump Server / Remote,Do you need remote or jump server access?,Is this for a single user or multiple users?,Do you have required credentials and approvals?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Access & Permissions,Do you need permission assignments or reviews?,Is this for a single system or multiple systems?,Do you have current permission list or requirements?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Onboarding / Offboarding,Do you need new hire or exit access provisioning?,Is this for a single employee or multiple?,Do you have HR approval and role details?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Vulnerability Management & Security Config,"Are you facing firewall, antivirus, or security configuration issues?",Is this for a single system or multiple?,Have you checked existing configuration and logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Governance / Policy Changes / Access Review & Compliance,Do you need compliance reviews or policy enforcement?,Is this for a single system or multiple systems?,Do you have audit documentation and review notes?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Authentication & MFA,Are you facing MFA setup or authentication failures?,Is this for a single user or multiple users?,Have you tried resetting credentials or MFA settings?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Unauthorized Access,Are you investigating a security breach?,Is it limited to a single system/user or multiple?,Have you checked logs and access history?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Cybersecurity Training,Do you need phishing or awareness training?,Is this for a single user or multiple users?,Do you have course content or training platform ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
ERP Access & Permissions,Are you facing ERP login issues or need role assignments?,Is this for a single user or multiple users?,Have you checked user credentials and role setup?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Workflow & Approvals,Are you facing workflow errors or approval delegation issues?,Is this for a single workflow or multiple workflows?,Have you checked workflow configuration or logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Financial Reports & Period Close,"Are you having GL, budgeting, or period close reporting issues?",Is this affecting a single report or multiple reports?,Have you checked report configuration or data source?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Sales Orders & Invoice Issues,Are you facing sales order or invoice discrepancies?,Is this for a single order/invoice or multiple?,Have you verified data entries or transaction logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Purchase Requisition & PO Issues,Are you facing PR/PO processing errors?,Is this for a single PR/PO or multiple?,Have you checked approval workflow or purchase records?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Stock & Inventory Management,Are you facing inventory discrepancies?,Is this for a single product or multiple products?,Have you checked stock logs or system entries?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Expense Reports & Approvals,Are you facing expense submission or approval issues?,Is this for a single user or multiple users?,Have you checked approval workflow or submission entries?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Data Integration & Reporting,Are you facing ERP data integration issues?,Is this for a single integration or multiple?,Have you verified data mapping and logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Customer/Vendor/Product Data Management,Are you facing master data management errors?,Is this for a single module or multiple modules?,Have you checked data validation and source systems?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Module Setup & Updates,Are you facing ERP module configuration issues?,Is this for a single module or multiple?,Have you checked module settings and permissions?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
External System Interfaces,Are you facing integration failures with external applications?,Is this for a single interface or multiple?,Have you verified API connectivity and logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Process & Workflow Changes,Are you making changes to ERP workflows?,Is this for a single workflow or multiple?,Have you checked dependencies and approvals?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
BI & Automation,Are you creating Power BI dashboards or automations?,Is this for a single report/dashboard or multiple?,Have you verified data sources and connections?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Report Failures & Errors,Are you facing report generation failures?,Is this for a single report or multiple reports?,Have you checked report configuration or data availability?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Report Enhancements,Do you need to enhance existing reports?,Is this for a single report or multiple?,Do you have enhancement specifications ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
New Reports / Development,Do you need to develop new reports?,Is this for a single report or multiple?,Do you have the report requirements and data sources ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Data Requests & Reports,Do you need custom report requests?,Is this for a single report or multiple?,"Do you have filters, metrics, or layout specifications ready?","Please share a screenshot or error message, I am creating a ticket in JIRA."
Dashboard & Reporting,Do you need operational dashboards?,Is this for a single dashboard or multiple?,Do you have KPIs and data sources defined?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
SQL / Databases,Are you facing database queries or access issues?,Is this for a single database or multiple?,Have you checked user permissions or query correctness?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Data Issues / Schema & Object Changes / Data Sync Failures,Are you facing data sync errors or schema updates?,Is this for a single table or multiple?,Have you verified ETL jobs or data consistency?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
"Pipeline Failures & Enhancements (ADF, ExitB, Snowflake)",Are you experiencing ETL pipeline failures or need enhancements?,Is this affecting a single pipeline or multiple pipelines?,Have you checked logs or tried re-running the pipeline?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
External System Interfaces,Are you facing integration failures between ERP and D365/Magento?,Is this affecting a single interface or multiple?,Have you verified API connections or logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Data & Analytics Integration,Do you need help with data pipelines or ETL integrations?,Is this for a single dataset or multiple datasets?,Have you verified source and target data?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
ERP Integration,Are you facing ERP module integration issues with other apps?,Is this affecting a single module or multiple?,Have you checked integration logs or APIs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Applications & Licensing,"Are you having Adobe, MS Office, or third-party license issues?",Is this affecting your account only or multiple users?,Have you tried license renewal or reactivation?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Software Renewal & Access,Do you need license renewal or access management?,Is this for a single software or multiple applications?,Do you have the license keys or approval available?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Email & Collaboration,Are you facing Outlook/email setup or access issues?,Is this affecting your mailbox only or multiple users?,"Have you tried web, desktop, or mobile access?","Please share a screenshot or error message, I am creating a ticket in JIRA."
Teams / Voice,Are you facing Teams calls or voice/video issues?,Is this affecting your account only or multiple users?,Have you checked network connectivity and Teams updates?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Mailbox & Group Emails,Do you need shared mailbox access or group email setup?,Is this for a single mailbox or multiple mailboxes?,Do you have a list of users to assign access?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
SharePoint / OneDrive,"Are you facing file access, sync, or collaboration issues?",Is this affecting your files only or multiple users?,Have you checked file permissions or tried accessing via web/desktop client?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
